ScoreJS,TypeJS,ScoreSE,TypeSE,ScoreSOP,TypeSOP,pAverage,mutationNumber,conservation,species,fcm/faa
0.691114489,JS divergence average,0.525751053,Shannon entropy average,1.998753715,Sum of Pairs Average,0.073913889,3,0.6667,5,0.0202
0.741972367,JS divergence average,0.635868432,Shannon entropy average,3.392539024,Sum of Pairs Average,0.0098970457,10,0.4,5,0.0315
0.6693139463,JS divergence average,0.5567033058,Shannon entropy average,2.2572417149,Sum of Pairs Average,1.91906826666667E-007,16,0.625,5,0.0714
0.603907371,JS divergence average,0.458832712,Shannon entropy average,1.645200311,Sum of Pairs Average,0.088540781,38,0.5,3,0.0212053571
0.718719684,JS divergence average,0.585496217,Shannon entropy average,2.756124237,Sum of Pairs Average,0.19982037,3,0.1666666667,4,0.012195122
0.576514024,JS divergence average,0.576514024,Shannon entropy average,2.77849376,Sum of Pairs Average,2.24151295133333E-005,19,0.5789,5,0.0786
0.8268785095,JS divergence average,0.9082175203,Shannon entropy average,4.9796973442,Sum of Pairs Average,0.0819332917,3,0.6667,3,0.011
0.723709268,JS divergence average,0.654688008,Shannon entropy average,3.022864756,Sum of Pairs Average,0.0057196257,6,0.5,5,0.0234
0.6053275464,JS divergence average,0.455654778,Shannon entropy average,1.7315591525,Sum of Pairs Average,0.0468346233,6,0.5,6,0.0319
0.817529152,JS divergence average,0.865594682,Shannon entropy average,4.643468773,Sum of Pairs Average,0.124337416,6,0.3333333333,6,0.0740740741
0.6805263989,JS divergence average,0.5114507631,Shannon entropy average,2.0171063454,Sum of Pairs Average,0.0013432517,32,0.375,6,0.1237113402
0.702849987,JS divergence average,0.559289907,Shannon entropy average,2.491844173,Sum of Pairs Average,0.104233706,13,0.6154,4,0.0635
0.724891797,JS divergence average,0.607103758,Shannon entropy average,2.908778072,Sum of Pairs Average,0.018629222,13,0.3077,6,0.0851
0.7052158745,JS divergence average,0.5058934791,Shannon entropy average,1.4652197529,Sum of Pairs Average,0.3050121724,6,0.3333333333,3,0.0048076923
0.706922655,JS divergence average,0.604672077,Shannon entropy average,2.715931799,Sum of Pairs Average,0.0143464887,27,0.3703703704,4,0.1219512195
0.755352455,JS divergence average,0.680621853,Shannon entropy average,3.124510179,Sum of Pairs Average,0.4300674178,3,0.3333333333,3,0.0053475936
0.7676792827,JS divergence average,0.7324493249,Shannon entropy average,3.3691167089,Sum of Pairs Average,0.001933745,52,0.1667,5,0.0909
0.744905611,JS divergence average,0.691564615,Shannon entropy average,3.344967873,Sum of Pairs Average,0.1431580253,31,0.5161,3,0.0492
